WARN  - 2016-08-18 16:15:52.879; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'E:\0808\solr-4.10.2\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2016-08-18 16:15:52.888; org.apache.solr.core.CachingDirectoryFactory; return new directory for E:\0808\solr-4.10.2\example\solr\collection1\data\index
INFO  - 2016-08-18 16:15:52.975; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@E:\0808\solr-4.10.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@E:\0808\solr-4.10.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-08-18 16:15:52.980; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-08-18 16:15:52.986; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-08-18 16:15:52.988; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-08-18 16:15:52.991; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-08-18 16:15:52.996; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-08-18 16:15:53.000; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-08-18 16:15:53.119; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-08-18 16:15:53.130; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.133; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.134; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.135; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.140; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.141; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.143; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-08-18 16:15:53.144; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.145; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2016-08-18 16:15:53.146; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.147; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-08-18 16:15:53.150; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-08-18 16:15:53.153; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-08-18 16:15:53.154; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-08-18 16:15:53.155; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-08-18 16:15:53.155; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-08-18 16:15:53.156; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-08-18 16:15:53.158; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-08-18 16:15:53.163; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-08-18 16:15:53.169; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-08-18 16:15:53.181; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-08-18 16:15:53.185; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.186; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.186; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.187; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.188; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.188; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.189; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.189; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.190; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.190; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-08-18 16:15:53.216; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-08-18 16:15:53.219; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-08-18 16:15:53.220; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-08-18 16:15:53.220; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-08-18 16:15:53.222; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-08-18 16:15:53.249; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-08-18 16:15:53.249; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-08-18 16:15:53.260; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@E:\0808\solr-4.10.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@E:\0808\solr-4.10.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-08-18 16:15:53.261; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-08-18 16:15:53.271; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@795cd558[collection1] main
INFO  - 2016-08-18 16:15:53.282; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: E:\0808\solr-4.10.2\example\solr\collection1\conf
